prompt,subject,counter_subject,target,counter_target
{} passed away at,Maso da San Friano,Franz S. Exner,Florence,Vienna
The language used by {} is,Jean-Baptiste Marchand,Helmut Schmidt,French,German
{} is created by,Nissan Laurel,Honda Rafaga,Nissan,Honda
{} was started in,Webley & Scott,"Future of the Left, that",Birmingham,Wales
{} is located in,Prydz Bay,Morocco,Antarctica,Africa
The mother tongue of {} is,Jean Galland,Alexey Leonov,French,Russian
"{}, which is located in",Pochepsky District,Chittoor district,Russia,India
{} is a citizen of,Tapio Kantanen,"Lili Ivanova, who",Finland,Bulgaria
"{}, developed by",Toyota Cresta,BMW N55,Toyota,BMW
{} was born in,Gilles Grimandi,Alex Harden,Gap,Montgomery
"In {}, an official language is",Northwest Territories,Dominion of Ceylon,English,Tamil
{} is originally from,Eli Maor,Howard Brenton,Israel,Portsmouth
{} is a citizen of,Carol Zhao,"Nitobe Inazō, who",Canada,Japan
{} originates from,Henry Mackenzie,Dustin Thomason,Edinburgh,Honolulu
{} is named for,Centocelle Airport,"Art nouveau in Milan, which",Rome,Milan
{} speaks,James Hardiman,Bernardo Bertolucci,English,Italian
{} works as,Gregg Edelman,"Asaph, son of Berachiah",actor,prophet
{} found employment in,Mayer Carl von Rothschild,Ben Wallace,Frankfurt,London
"In {}, the language spoken is",Nykarleby,Ansoáin/Antsoain,Swedish,Spanish
{} is native to,Ryan Archibald,Marrack Goulding,Auckland,Plymouth
{} premiered on,Dateline NBC,Judgment Day: Intelligent Design on Trial,NBC,PBS
The twin city of {} is,Beirut,Athens,Istanbul,Florence
{}'s area of work is,Lee Alvin DuBridge,"Edgar Vincent, 1st Viscount D'Abernon",physics,diplomat
The native language of {} is,Tanya Lopert,Arend Heyting,French,Dutch
{} was employed in,"Nancy Astor, Viscountess Astor",Gustave Doré,London,Paris
{} speaks the language,"George Goring, Lord Goring",Marco Ferreri,English,Italian
{} debuted on,Running Mates,Barnaby Jones,TNT,CBS
{} is a part of the continent of,George V Coast,Uganda,Antarctica,Africa
{} is in,Gabbro Hills,People's Republic of China,Antarctica,Asia
{} professionally plays the sport,Carlos Valderrama,Pau Gasol,soccer,basketball
{} belongs to the organization of,Gilli Smyth,Russia national association football team,Gong,FIFA
{}'s life ended in,Charles IV of Spain,Otto Grautoff,Rome,Paris
The twin city of {} is,Rabat,Kazan,Damascus,Istanbul
{} worked in the city of,LeRoy Collins,Sergey Dmitriyevich Merkurov,Florida,Moscow
"{}, located in",Wanne-Eickel Central Station,Canton of Solothurn,Germany,Switzerland
{} is in,Galata,"San Francesco degli Scarioni, Naples",Istanbul,Naples
{} plays in the position of,Pantelis Kafes,A. J. Hinch,midfielder,catcher
{}'s headquarters are in,Ipsos MORI,Nortura,London,Oslo
{} was written in,Mama Corsica,OneDrive,French,Dutch
The official religion of {} is,Jahangir,Erich Lessing,Islam,Judaism
{} is follower of,Muhammad Shah,Paul Haggis,Islam,Scientology
{} is located in the country of,Hohenlohe-Langenburg,Italian Grand Prix,Germany,Italy
{} premieres on,Redigo,Curb Your Enthusiasm,NBC,HBO
{} plays in the position of,Ruud Gullit,Doug Buffone,midfielder,linebacker
{} is located in the country of,Shablykinsky District,Chuvash,Russia,Belarus
{} originated in,La Bouche,Big Sandy & His Fly-Rite Boys,Frankfurt,California
"{}, who holds a citizenship from",Armin Hofmann,"Queen Helen, The Queen Mother of Romania",Switzerland,Romania
{} is a native speaker of,Gwen Stefani,Jean Gabin,English,French
{} plays the instrument,Tom Fletcher,Jô Soares,guitar,trumpet
{} is affiliated with the,Football Association of Malaysia,Daredevil,FIFA,Avengers
The original language of {} is,Thoranai,Chasing Amy,Tamil,English
"{}, in",Oliver Ames High School,Coburn,Massachusetts,Pennsylvania
The official religion of {} is,Uwais Qarni,Han Yong-un,Islam,Buddhism
{} was formed in,1300 Oslo,"Seabourn Cruise Line, that",Oslo,Miami
{} is in,Rutgers Glacier,Ethiopia,Antarctica,Africa
What is the twin city of {}? It is,Houston,Nuremberg?,Aberdeen,Prague
{} is located in the country of,Manila Light Rail Transit System,Belarusian,Philippines,Ukraine
{} plays as,Tuukka Rask,Uwe Rahn,goaltender,midfielder
{}'s profession is an,Luana Walters,Napoleon,actor,politician
{} is within,Ostankinsky District,Seacroft Hospital,Moscow,Leeds
"{}, that was started in",Immaculate Machine,ABC,Victoria,Sheffield
"{}, in",Saratov Oblast,Interstate 85 in Virginia,Russia,Virginia
"{}, a native",Paul Biegel,Jean Auguste Dominique Ingres,Dutch,French
{} holds the position of,Charles Caruana,Thomas Wimmer,bishop,mayor
{} died at,Joseph Wostinholm,Wolfgang Kieling,Sheffield,Hamburg
{}'s expertise is,Yi-Fu Tuan,Lara Fabian,geography,singing
{} formed in,Typical Cats,"Simple Plan, that was",Chicago,Montreal
{} is developed by,Yamaha TZR250,Toyota Yaris,Yamaha,Toyota
"{}, who has the position of",Decio Azzolino,Luigi Nazari di Calabiana,cardinal,bishop
{} is produced by,Honda Insight,Suzuki RE5,Honda,Suzuki
The language of {} is,El Correo,Bambi,Spanish,English
The language of {} was,"Du gamla, du fria",Tappajan näköinen mies,Swedish,Finnish
"{}, which is located in",Valdemarsvik,Chehel Sotun,Sweden,Iran
The original language of {} is,Delusions of Grandeur,Ghost Rider,French,English
The law in {} declares the language,Gibraltar,Haapavesi,English,Finnish
{} can be found in,2010 Winter Paralympics,Bernauer Straße station,Vancouver,Berlin
{} was released on,The Yellow Rose,"Dink, the Little Dinosaur",NBC,CBS
The headquarter of {} is in,Newcomen Society,Boost Mobile,London,Irvine
"{}, playing the",Mark Isham,Leopold von Meyer,trumpet,piano
{} is located in the country of,Ozumba,Kirov,Mexico,Russia
The headquarters of {} is in,Northeastern University,"Department of Tourism, Culture, Arts, Gaeltacht, Sport and Media",Boston,Dublin
The language of {} was,Tropical Malady,Rajapattai,Thai,Tamil
"{}, produced by",BMW 326,Sony Alpha 900,BMW,Sony
"{}, by",MSN Music,Indiana State Museum,Microsoft,Indiana
{} is a twin city of,Johannesburg,Cologne,London,Istanbul
"{}, which is located in",Piper Verlag,Irish Rugby Football Union men's player ID,Germany,Ireland
{} plays in the position of,Karl Mecklenburg,Adrian Mierzejewski,linebacker,midfielder
"{}, created by",Chevrolet Greenbrier,Pixel 4,Chevrolet,Google
The language of {} is,Dehkhoda Dictionary,Chaos on Deponia,Persian,Russian
"{}, who holds the position of",Guillaume Durand,Innocent VIII,bishop,pope
{} is created by,Renault 5,Toyota AD engine,Renault,Toyota
The profession of {} is,Mary Collinson,Bernhard Grzimek,actor,photographer
{} was released on,The Million Second Quiz,Cybill,NBC,CBS
"{}, who has a citizenship from",Constantin von Monakow,Jack Szostak,Switzerland,Canada
"{}, who is employed by",William Rees-Mogg,Devery Freeman,BBC,CBS
The occupation of {} is,Patrick Manson,Édith Piaf,physician,actor
{} has a citizenship from,Irakli Alasania,Carl Flesch,Georgia,Hungary
"{}, who is a citizen of",John Queen,Jack Lynch,Canada,Ireland
{} is a twin city of,Chicago,Mexico City,Warsaw,Istanbul
{} plays as,Iosif Rotariu,Bill Murphy,midfielder,pitcher
{} plays in the position of,John Navarre,Omar Gaither,quarterback,linebacker
"{}, developed by",BMW E23,Suzuki Cervo,BMW,Suzuki
"In {}, they understand",Hyrynsalmi,Rojales,Finnish,Spanish
{} found employment in,Tullio De Mauro,Sigmund Freud,Rome,Vienna
{} plays in the position of,Thurman Munson,Brian Griese,catcher,quarterback
The official language of {} is,Timurid Empire,Portuguese Empire,Persian,Portuguese
"{}, that was created in",Sam Cooke,The Breeders,Chicago,Boston
"{}, developed by",Ferrari Daytona,Nokia 2330 Classic,Ferrari,Nokia
The occupation of {} is,Shreela Ghosh,Charles Baudelaire,actor,poet
The location of {} is,Hamburg International Film Festival,Church of Domine Quo Vadis,Hamburg,Rome
{} was developed in,Le Iene,Hobo with a Shotgun,Italy,Canada
The law in {} declares the language,Bahia,Iisalmi,Portuguese,Finnish
The headquarters of {} is in,Pappas Restaurants,BioMimetic Therapeutics,Houston,Franklin
{} is a twin city of,Oslo,Moscow,Copenhagen,Tehran
{} belongs to the organization of,Otto Piene,France,Zero,NATO
"{}, that was created in",Winnipeg Symphony Orchestra,The Beast,Canada,Iceland
The native language of {} is,Pierre Messmer,Bill Clinton,French,English
"{}, who holds a citizenship from",Magnus Carlsen,Silvio Caiozzi,Norway,Chile
The twin city of {} is,Bucharest,Saint Petersburg,London,Lyon
The language of {} was,Stylus Magazine,China Heavyweight,English,Chinese
The original language of {} is,Wild Reeds,Tie Me Up! Tie Me Down!,French,Spanish
{} can be found in,Thirteen Colonies,University Dental Hospital of Manchester,England,Manchester
"{}, whose headquarters are in",Veracode,Landmark Columbus,Burlington,Columbus
{} is affiliated with the religion,Mehmed the Conqueror,Quentin Tarantino,Islam,Christianity
"{}, which is located in",Attingal,ESPN.com NHL player ID,India,Canada
{} belongs to the continent of,Teres Ridge,South Africa,Antarctica,Africa
{} is employed by,Carl Kasell,Grady Booch,NPR,IBM
"{}, that was developed in",Udo Mechels,Seemabaddha,Belgium,India
{} found employment in,Tankred Dorst,"Clementine Churchill, Baroness Spencer-Churchill",Munich,London
{}'s headquarters are in,Princeton University Press,Middle East Airlines,Princeton,Beirut
The mother tongue of {} is,Ilya Ehrenburg,Giaches de Wert,Russian,Dutch
"{}, who works for",Susan Stamberg,Stefan Kornelius,NPR,BBC
{} is a citizen of,Haseeb Ahsan,"Rabo Saminou, who",Pakistan,Niger
"{}, named after",Baghdad International Airport,Ajaccio Napoleon Bonaparte Airport,Baghdad,Napoleon
"{}, in",Georgians,Werkendam,Azerbaijan,Netherlands
{}'s occupation is,M. S. Viswanathan,Quentin Tarantino,composer,actor
"{}, who is a citizen of",Susan Denberg,Ralph Steinman,Austria,Canada
{} died at,Sedat Alp,Giovanni Bona,Ankara,Rome
{} is in,Risemedet Mountain,Boundary Peak,Antarctica,Americas
{} is located in the continent,Mount Markham,Wildhorn,Antarctica,Europe
{} has a citizenship from,Ritt Bjerregaard,"Giacomo Furia, who",Denmark,Italy
{} speaks the language,Duygu Asena,Michael Faraday,Turkish,English
The profession of {} is,Noon Meem Rashid,Abraham Lincoln,poet,politician
{} originated in,Daily Planet,"Yojimbo, that",Canada,Japan
The language of {} was,Il ballo delle ingrate,The Tales of Hoffmann,Italian,French
The official language of {} is,Italy,South Korea,Italian,Korean
{} expired at,Anthony Asquith,Count Joseph Alexander Hübner,London,Vienna
"{}, created in",Fox Soccer News,L'avaro,Canada,Italy
The original language of {} is,Likkutei Sichos,Thotti Jaya,Hebrew,Tamil
The official religion of {} is,As-Saffah,Alfred Loewy,Islam,Judaism
{} spoke the language,Dominique Perben,Li Chunfeng,French,Chinese
"{}, the",Alain Lanty,Phil Napoleon,piano,trumpet
{} is located in,Kalahari Desert,Queen Maud Land,Africa,Antarctica
{} is located in,Arthur,San Joaquin Valley,Illinois,California
{} is created by,VP9,Windows 2000,Google,Microsoft
{} speaks the language,Didier Haudepin,Wilhelm Gesenius,French,Hebrew
{} originated in,Housos,My Mother Likes Women,Australia,Spain
{}'s domain of work is,Michel Chasles,Charles Édouard Guillaume,geometry,physics
"{}, by",BBC Knowledge,Bundesstraße 29,BBC,Germany
"{}, who plays the position",Jonathan Osorio,Helmut de Raaf,midfielder,goaltender
{} plays as,Martina Voss-Tecklenburg,Charlie Conerly,midfielder,quarterback
"{}, a citizen of",Mohammad-Taqi Mesbah-Yazdi,Hermann Hesse,Iran,Germany
"{}, that was from",My-HiME,Ben X,Japan,Belgium
{} speaks,Nicolaus Olahus,Igor Stravinsky,Latin,Russian
Where is {}? It is located in,PAX,Oast Circa 13 Yards South East Of Battel Hall?,Seattle,Leeds
{} plays the,Victor Merzhanov,George Harrison,piano,guitar
{} is a native speaker of,Julien Courbet,Anna Politkovskaya,French,Russian
{} was native to,Maurice de Vlaminck,Kyrie Kristmanson,Paris,Ottawa
"{}, that originated in",Armored Fleet Dairugger XV,Foolproof,Japan,Canada
"{}, that was created in",NRJ Group,League of Left-Wing Writers,Paris,Shanghai
{} originated in,Business Development Bank of Canada,"This Town Needs Guns, that",Montreal,Oxford
"{}, in",Tehri Garhwal district,Georgians,India,Iran
{} is a product of,Fiat 124,BMW M30,Fiat,BMW
{} is in,Uttaradit,Lingda,Thailand,Gujarat
{} professionally plays the sport,Hank Aaron,Wilt Chamberlain,baseball,basketball
{} works in the field of,Onufri,Edmund Halley,icon,astronomy
{} is created by,Toyota RAV4,Volvo Amazon,Toyota,Volvo
{} is a twin city of,Shenyang,Barcelona,Chicago,Boston
{} is a twin city of,Moscow,Jeddah,Amsterdam,Miami
{} started in,Xerox,Sound of Contact was,Rochester,Miami
{} holds a citizenship from,Cheikh Anta Diop,"Cory Doctorow, who",Senegal,Canada
{} took up work in,Cyril Smith,Kevin Brooks,London,Birmingham
{} is created by,Renault Vel Satis,Chevrolet Tru 140S,Renault,Chevrolet
{} passed away in,Sebastiano Conca,Julia Chinn,Naples,Georgetown
The mother tongue of {} is,Alain Robbe-Grillet,Henk van Woerden,French,Dutch
"{}, who plays",Paul Chambers,Anything but Love,jazz,sitcom
{} plays in the position of,Nigel de Jong,Akinori Ōtsuka,midfielder,pitcher
{}'s headquarters are in,British Tanker Company,Fenerbahçe University,London,Istanbul
The headquarter of {} is in,Heart Attack Grill,Shanghai Foreign Language Education Press,Chandler,Shanghai
{} formed in,Aerosvit Airlines,International Association of Democratic Lawyers was,Kiev,Paris
{} is located in the continent,Matusevich Glacier,Bös Fulen,Antarctica,Europe
{} is a twin city of,Ankara,Yangzhou,Seoul,Venice
{}'s capital is,Al Madinah Region,British Empire,Medina,London
{} speaks,Georges Marchais,Walt Disney,French,English
{} is located in,Wesley Hospital,Athens Metro Line 4,Queensland,Athens
"{}, who plays",Unfinished Tales,Fritz Kreisler,fantasy,opera
{} used to work in,George Auriol,Roberta Blackman-Woods,Paris,London
{} can be found in,Massenet Festival,Dibër County,France,Albania
{} performs,Jan Peerce,Etta James,opera,jazz
The original language of {} is,Brava Gente,Mayabazar,Portuguese,Tamil
{} plays,Jean-Luc Ponty,Gavin Lyall,jazz,thriller
{} premiered on,Lost in Space,Boardwalk Empire,CBS,HBO
"{}, in",Nizamabad district,Queen Maud Land,Asia,Antarctica
"{}, in",Mobiloil Inlet,Säntis,Antarctica,Europe
{} formed in,Mambo Taxi,"Titanus, that was",London,Naples
{} is native to,Jack Wong Sue,John B. West,Perth,Adelaide
The occupation of {} is,Sepala Attygalle,Egon Schiele,diplomat,architect
{} performs,Roy Hargrove,Franz Schreker,jazz,opera
{} is within,2013 Internazionali BNL d'Italia,KGB,Rome,California
The headquarter of {} is in,BSC Young Boys,Iamgold,Bern,Toronto
"{}, in",Jablanica District,Milam County,Serbia,Texas
{} was originally aired on,The Experiment,Project Runway All Stars,BBC,Lifetime
{} is a professional,Jari Kurri,Tim Howard,hockey,soccer
{} is a part of the continent of,Trail Inlet,Rigi,Antarctica,Europe
{} worked in,"Arthur Wellesley, 1st Duke of Wellington",Charles I of Austria,London,Vienna
"In {}, an official language is",Chardonne,Vanuatu,French,English
{} was formulated in,The Midway State,"Efteling, that",Canada,Netherlands
The mother tongue of {} is,Jalil Lespert,Johannes Hendrikus Donner,French,Dutch
{} died at,Pedro de Ribera,Georg Rudolf Weckherlin,Madrid,London
What is the twin city of {}? It is,Johannesburg,Caen?,Rome,Portsmouth
{} was employed in,Raymond Flynn,Marcel Duchamp,Boston,Paris
"{}, the",Corky Miller,Ignacio Camacho,catcher,midfielder
"{}, speaker of",Xavier Saint-Macary,Hendrik Brugmans,French,Dutch
"{}, who works for",Philip Jenkinson,Tim Cook,BBC,Apple
"{}, the",Zdeno Chára,David Beckham,hockey,soccer
{} can be found in,"Riverway, Townsville",Bong County,Queensland,Liberia
{} is in,Gracie Mansion,The Canadian,Manhattan,Ontario
{} used to work in,Hermann Hesse,Tom Watson,Bern,London
{} can be found in,Kalamazoo County,Indiana State Road 148,Michigan,Indiana
{} works in the field of,Jonathan Haidt,Werner Fenchel,psychology,geometry
{}'s life ended in,Jack McGurn,Ruth Pfau,Chicago,Karachi
{} was employed in,Angela Merkel,Catullus,Berlin,Rome
"{}, who works as",John Cygan,Karl Bryullov,actor,architect
{} is in,Operation Inherent Resolve,Kamehameha Schools,Iraq,Honolulu
{} debuted on,The Crazy Ones,Sex and the City,CBS,HBO
{} was released on,CBS Storybreak,My Super Psycho Sweet 16: Part 2,CBS,MTV
{} is located in,Suvorov Glacier,North Korea,Antarctica,Asia
The official religion of {} is,Sangha,Bashar al-Assad,Buddhism,Islam
The original language of {} was,Metro 2033,Mystery Train,Russian,Italian
{} is located in,Eirodziesma,Khartoum,Latvia,Sudan
"{}, located in",Olot,East Godavari district,Spain,India
{} can be found in,Jennings,Maryland Route 225,Louisiana,Maryland
{} died in,Frederic William Burton,Robert Montgomery Bird,London,Philadelphia
{}'s profession is an,Donald McCaig,Gabriel Narutowicz,poet,diplomat
"{}, who plays the position",Tarvaris Jackson,Ilya Bryzgalov,quarterback,goaltender
{} is a twin city of,Bordeaux,"Washington, D.C.",Madrid,Seoul
{}'s domain of activity is,A Thousand Plateaus,Felix Bloch,philosophy,physics
"{}, the",Erik Ersberg,Adrian Mierzejewski,goaltender,midfielder
{} premiered on,The First Easter Rabbit,State of the Union with Dana Bash,NBC,CNN
{} performs,Gothika,Ziggy Elman,thriller,jazz
{} is based in,Caribbean Community Secretariat,DB Vertrieb,Georgetown,Frankfurt
{} plays in the position of,Florent Cuvelier,Al Silvera,midfielder,outfielder
{} is located in,Sumulong Highway,Lake Balaton,Philippines,Hungary
The headquarters of {} is in,Irish Ferries,Order of the Blessed Virgin Mary of Mercy,Dublin,Rome
"In {}, the language spoken is",Andorra,Albatera,Catalan,Spanish
{} died in,Saúl Levi Morteira,Vera Ignatyevna Mukhina,Amsterdam,Moscow
{} is a citizen of,Henry Villard,"Ashfaq Ahmad, who",Germany,Pakistan
{} can be found in,"Holy Name Cathedral, Chicago",Universidad Católica Silva Henríquez,Chicago,Santiago
{} is within,New Bedford Whaling Museum,Irish Architectural Archive,Massachusetts,Dublin
"In {}, they understand",Colombia,Malta,Spanish,English
The occupation of {} is,David Yost,Aleksander Chodźko,actor,diplomat
{} performs on the,Micko Larkin,Christoph Nichelmann,guitar,piano
The native language of {} is,Anatole France,George Washington,French,English
The mother tongue of {} is,Christian Bouchet,Yury Luzhkov,French,Russian
The language used by {} is,Henri Massis,Henry Ford,French,English
{} is based in,Crown Airways,MTV Russia,Philadelphia,Moscow
{} found employment in,Mona Mur,Harry Hays,Berlin,Ottawa
{} debuted on,The Paradise Club,Patterns of Force,BBC,NBC
{} is located in the country of,Darmstadt,Cinenacional.com person ID,Germany,Argentina
"{}, the",David Carney,Wilt Chamberlain,soccer,basketball
The headquarters of {} is in,Tata Steel Europe,Permanent TSB Group Holdings plc,London,Dublin
The original language of {} was,The Mistress of the Inn,Thotti Jaya,Italian,Tamil
{} is to debut on,How to Make It in America,War and Peace,HBO,BBC
{}'s profession is a,Ethyl Eichelberger,Barack Obama,actor,politician
"{}, speaker of",Leslie Caron,David Teniers the Elder,French,Dutch
{} writes in,Abraham Fraenkel,Harald Sæverud,Hebrew,Norwegian
The official language of {} is,Caslano,League of Nations,Italian,French
The genre played by {} is,Babs Gonzales,Alban Berg,jazz,opera
{} premieres on,Nova,Barbarians Rising,PBS,History
{} was written in,Resta in ascolto,Iron Man: Armored Adventures,Spanish,French
{} follows the religion of,Pervez Musharraf,Chögyam Trungpa,Islam,Buddhism
{} belongs to the continent of,Romulus Glacier,Bös Fulen,Antarctica,Europe
"{}, that originated in",Kanye West,The Whitlams,Chicago,Sydney
{} is in,Argosy Glacier,Ethiopia,Antarctica,Africa
{} was created in,Cuban espresso,Until the End of the World,Cuba,Australia
"In {}, an official language is",Enlightenment in Spain,Tamarite de Litera,Spanish,Catalan
{} holds a citizenship from,Fabio Grobart,Jules Hardouin-Mansart,Cuba,France
{} is a citizen of,Inge Magnusson,Catalin Dorian Florescu,Norway,Romania
The location of {} is,Indie Memphis,Arnold Arboretum,Memphis,Boston
Where is {}? It is located in,Japan Open Tennis Championships,cidre de Normandie?,Tokyo,Normandy
The official religion of {} is,Sheikh Bedreddin,Trần Hưng Đạo,Islam,Buddhism
{} passed away in,Beryl Cook,Francis George,Plymouth,Chicago
{} speaks the language,Leonhard Christian Borchgrevink Holmboe,Celine Dion,Norwegian,French
"{}, that was created in",Stardust Five,The Saturdays,Melbourne,London
{} holds the position of,Manuel Roxas,"Urban V, who",governor,pope
{} is produced by,Shahab-2,BepiColombo,Iran,Airbus
"{}, a native",Fabrice Luchini,Michael Jackson,French,English
The twin city of {} is,Florence,Sarajevo,Budapest,Madrid
"{}, named after","Oslo Airport, Gardermoen",Leonardo da Vinci–Fiumicino Airport,Oslo,Rome
{} was started in,Spectrum-X,"Big Data, that",Italy,Brooklyn
The headquarter of {} is in,Amirkabir University of Technology,Roman Catholic Archdiocese of Toronto,Tehran,Toronto
The language of {} was,The Secret in Their Eyes,Kaakha Kaakha,Spanish,Tamil
{} is created by,Apple III,Nintendo DSi,Apple,Nintendo
{} is located in the continent,Delchev Ridge,Mount Pilatus,Antarctica,Europe
"{}, who is a citizen of",Giovanni Pellielo,Claude McKay,Italy,Jamaica
{} is native to,Haydn Bendall,"Luigi Barzini, Jr.",Essex,Milan
"{}, the",Nick Greisen,Adama Ba,linebacker,midfielder
{} spoke the language,Blanchette Brunoy,Mikhail Khodorkovsky,French,Russian
The mother tongue of {} is,Adriaan van Dis,Melchior de Vogüé,Dutch,French
{} follows the religion of,James I of Aragon,Rongzom Chokyi Zangpo,Christianity,Buddhism
{} writes in,Huangfu Mi,Enrico Fermi,Chinese,English
{} is known for performing,Orphan Black,Anything but Love,thriller,sitcom
The language of {} was,Planet of the Apes,The Angels' Share,French,English
The official language of {} is,Guam,Arsyonovo,English,Russian
{} was employed in,Johann Gottlieb Fichte,James Brokenshire,Berlin,London
The profession of {} is,Jane Leeves,J. M. Barrie,actor,novelist
"{}, which is located in",Adliswil,North Rhine-Westphalia,Switzerland,Germany
"{}, who has a citizenship from",Irfan Habib,Derek Wong,India,Singapore
{} is located in the continent,Umayyad Caliphate,Mount Erebus,Europe,Antarctica
"In {}, they understand",La Chaux-de-Fonds,Singapore,French,English
{}'s headquarters are in,Chinese Skating Association,Horizon League,Beijing,Indianapolis
{} can be found in,Disney's Hollywood Studios,Bruce County,Florida,Ontario
{} originated in,The Boat People,"Noel Gallagher's High Flying Birds, that",Brisbane,Manchester
"{}, that was from",Fantastyka,Frauds,Poland,Australia
{} belongs to the continent of,Alpha Island,Rigi,Antarctica,Europe
{} was native to,Marcus Harvey,Boniface de Castellane,Leeds,Paris
{} performs on the,Keith Emerson,Prince,piano,guitar
Where is {}? It is located in,Uruguayan War,Moel Maenefa?,Uruguay,Wales
{} is from,Bundesautobahn 5,Digital Anvil,Germany,Microsoft
{} premieres on,Skag,Salem's Lot,NBC,CBS
{} originated in,Acrassicauda,"British Overseas Airways Corporation, that",Baghdad,London
"{}, named for",Trinidad,Indianapolis Executive Airport,Trinity,Indianapolis
{} is to debut on,The Dennis O'Keefe Show,The Voice,CBS,NBC
"{}, in",Alebtong District,Sognsvann Line,Uganda,Oslo
{} performs,Ralph Lyford,David Sanborn,opera,jazz
{} worked in,Bahamas,Heinz Zatschek,Toronto,Prague
The language used by {} is,Jesus Christ,Enrico Fermi,Hebrew,English
{} performs,Milt Hinton,Une grenade avec ça?,jazz,sitcom
{} spoke the language,Louis Bonaparte,Dick Bruna,French,Dutch
"{}, which is called after",Sheremetyevo International Airport,Manchester Central railway station,Moscow,Manchester
{} was originally from,Brendan Croker,John Mayow,Bradford,Bree
"{}, that was created in",Ostatnia brygada,The Moon and Other Lovers,Poland,Germany
"{}, who has a citizenship from",William Osler,Johannes Lid,Canada,Norway
{} is produced by,Mercury Montclair,Nissan Skyline GT-R,Mercury,Nissan
{} is created by,Final Fantasy,Xenix,Square,Microsoft
{} was developed in,Novelas ejemplares,ZDF-Morgenmagazin,Spain,Germany
The capital of {} is,Democratic Republic of Afghanistan,Duchy of Florence,Kabul,Florence
{} works as,Raoul Trujillo,Jawaharlal Nehru,actor,politician
{} died in,Tino di Camaino,Rolf Dieter Brinkmann,Naples,London
The headquarter of {} is in,Boston Bolts,Packard,Boston,Detroit
The official religion of {} is,John Travolta,Rasul Gamzatov,Scientology,Islam
{} is produced by,Infiniti QX,Fiat 522,Nissan,Fiat
The location of {} is,Platonic Academy,athletics at the 1948 Summer Olympics – men's 400 metres hurdles,Florence,London
{} writes in,Peter Mayle,Mustafa Kemal Atatürk,English,French
"{}, that was from",La Revista Blanca,Mariées mais pas trop,Spain,Belgium
{} worked in the city of,Robert Stanfield,Hermann Heller,Ottawa,Berlin
{} is a twin city of,Florence,Kraków,Athens,Florence
{} plays as,Frank Brimsek,Ignacio Camacho,goaltender,midfielder
{} writes in,Vico Magistretti,Edmund Landau,Italian,Hebrew
{} is headquartered in,Elsevier,Sandlot Games,Philadelphia,Seattle
The language of {} is,Rasayana,Humiliated and Insulted,Sanskrit,Russian
{} speaks the language,Piero Gobetti,Sun Yat-sen,Italian,English
